tier	class	n_windows	bp_covered	n_chromosomes	mean_avg_dxy	median_avg_dxy	mean_avg_wc_fst	median_avg_wc_fst	mean_pi_average	median_pi_average	mean_f3	median_f3	mean_TajimaD	median_TajimaD	mean_recombination	median_recombination	mean_abs_delta_p	median_abs_delta_p	mean_B_no_delta_p	median_B_no_delta_p	mean_K_local_mean	median_K_local_mean	fraction_of_genome
GMM/RF + continuous-distance agreement	No consensus	48294	482940000	18	0.00993516854786771	0.009186673199412	0.279485192813095	0.250034858658676	0.00723373770438592	0.00641876254565085	-0.000227946772023855	-0.000179222848878668	-0.194141787482172	-0.147023	4.65536329369092e-10	3.66339210208481e-10	0.21454001449378	0.211049356053131					
Distance margin >= 0.25	Balancing selection	42243	422430000	18	0.0144897610822943	0.0142036465209658	0.121014016774515	0.12172763716587	0.0128101779588325	0.0123814521542191	0.000312333065836491	0.000253619543804695	-0.16614605783424	-0.171768	7.45431446970992e-10	6.84316245262495e-10	0.161474049487537	0.160906431136723					
Distance margin >= 0.25	Geographic sweep	11568	115680000	18	0.00841085093512811	0.00799318203633185	0.56437725147159	0.560392957976133	0.0038058389776433	0.00356970644919013	-0.000631222259450584	-0.000541883370367536	0.18940930445192	0.1297785	3.10752452527377e-10	2.52516500066129e-10	0.325549070610256	0.313809625026247					
Distance margin >= 0.25	No consensus	99509	995090000	18	0.00884413323665824	0.00814868525839655	0.29823511280603	0.284737205121908	0.00632373347156214	0.00573704563511388	-0.000283740855286636	-0.000254431340512999	-0.350444817156317	-0.361328	4.3691921889534e-10	3.5948692606009e-10	0.213386142207155	0.210375091296677					
Distance margin >= 0.50	Balancing selection	39135	391350000	18	0.0148658995887463	0.0145765039777073	0.118833586363504	0.119297433955286	0.0131706435037163	0.0127437398077183	0.000336999556971922	0.000276990654375994	-0.154491268896763	-0.16251	7.72254800247418e-10	7.1428430090088e-10	0.160795973035466	0.160433779118353					
Distance margin >= 0.50	Geographic sweep	6948	69480000	18	0.00826390288695331	0.00790796121189985	0.585481259560556	0.578298750349202	0.00351556725962001	0.00343217582107853	-0.000636261193161579	-0.000554374543606565	0.327669510552189	0.2607835	2.92254660103585e-10	2.45316561118313e-10	0.343977248874622	0.329685380988261					
Distance margin >= 0.50	No consensus	107237	1072370000	18	0.00886168655965567	0.00819080310227115	0.304119965083842	0.286821669800411	0.00628984902234229	0.00573827807175065	-0.000290238880986048	-0.000252152283627378	-0.334717690335984	-0.3404135	4.31791615336087e-10	3.54735721177416e-10	0.215819367078234	0.211448594645187					
Distance margin >= 1.00	Balancing selection	32050	320500000	18	0.0156785928029885	0.0153762137004361	0.112777349656638	0.112759240937032	0.013974199121172	0.0135627070409883	0.000402392881648398	0.000334290589080245	-0.137568784551616	-0.149772	8.27478734324923e-10	7.72378937967024e-10	0.15851168724324	0.15842726849635					
Distance margin >= 1.00	Geographic sweep	90	9e+05	12	0.00902939786156279	0.00887943945633945	0.642439440871479	0.633810056595697	0.00325967779915549	0.00328204453265555	-0.000265689194326771	-0.000290923467249863	0.440380232222222	0.388166	2.5461530000278e-10	2.39383960329798e-10	0.362177427390595	0.356811908317833					
Distance margin >= 1.00	No consensus	121180	1211800000	18	0.00896517669576845	0.0083505559123635	0.310898838586814	0.286489315442847	0.00632338257358357	0.0057728108656688	-0.000290728065120159	-0.000247369694233251	-0.290408021445225	-0.299424	4.29203425320766e-10	3.49763410840581e-10	0.220535179419076	0.21189518675941					
Score margin >= 0.25	Balancing selection	48818	488180000	18	0.0136530332999531	0.0133232487306448	0.12534261656816	0.127219562139436	0.0120254559113181	0.0115815613275587	0.000262431674780005	0.000194939079422366	-0.218884049260248	-0.207249	6.84472864355264e-10	6.10955369814939e-10	0.161854156115591	0.161190694963675					
Score margin >= 0.25	Geographic sweep	15996	159960000	18	0.00737409879960179	0.0073203748459314	0.533027190901599	0.546012840831029	0.0034309152654256	0.0033219052894544	-0.000494283202653237	-0.000447423683641172	-0.085144495116291	-0.0883474	3.41525338802456e-10	2.74162798473586e-10	0.296616371988681	0.291133068798617					
Score margin >= 0.25	No consensus	88506	885060000	18	0.00910137833281433	0.0083486185110781	0.301447750436374	0.290254624666707	0.00647193349391317	0.00578586674749165	-0.00030845354677502	-0.000280639218837114	-0.311416016758335	-0.323362	4.48604234748911e-10	3.70406160290399e-10	0.216737407874471	0.212775091202632					
Score margin >= 0.50	Balancing selection	48232	482320000	18	0.0137411300927127	0.0134076662216952	0.124978640442598	0.126799645702603	0.012106254800879	0.011654453945587	0.000264782505468629	0.000198349247513449	-0.214083355153359	-0.203829	6.87706611407236e-10	6.1572870567824e-10	0.161847658684641	0.161180294815397					
Score margin >= 0.50	Geographic sweep	15730	157300000	18	0.0073080104990214	0.0072550675887927	0.535314185062714	0.547830475078188	0.00337822904986089	0.00328731959913845	-0.000501154296887785	-0.000453101365969796	-0.0888498478626948	-0.0912303	3.42043662463397e-10	2.74617616551552e-10	0.29717191451269	0.291525313522051					
Score margin >= 0.50	No consensus	89358	893580000	18	0.00908989974313733	0.0083285094794116	0.300758276945625	0.289709765725823	0.00646479580632626	0.0057859143918283	-0.000305246317482897	-0.00027739546674946	-0.312092087406972	-0.324192	4.47991649602613e-10	3.70045378798364e-10	0.216515280439287	0.212499879600963					
